STORENO,CHAIN,MGRSX,STATE,NMGRS,STARTWAGE,OPEN,HRSOPEN,PSODA,PFRY,PENTREE,NREGS
10,1,0,1,4,4.25,7,16,1.04,0.85,0.85,3
386,1,0,1,3,4.25,7,17,1.06,0.95,0.95,3
410,1,0,1,3,4.25,7,16,1.04,1.12,1.02,4
413,1,0,1,5,4.25,6,17,1.12,1.02,1.06,4
414,1,0,1,5,4.25,7,16,1.06,0.95,1.11,4
415,1,0,1,5,4.25,7,16,1.06,0.91,0.98,5
417,1,1,1,3,4.25,7,16,1.05,0.94,1.07,4
418,1,0,1,4,4.25,8,15,1.02,1.01,0.52,4
430,1,0,0,4,4.25,7,15,0.95,0.75,0.8,3
433,1,0,0,4,4.25,7,16,0.95,0.73,0.8,3
435,1,0,0,3,4.25,6.5,15.5,0.95,0.75,0.79,3
471,1,0,0,4,4.25,6,18,0.97,0.84,0.91,2
472,1,0,0,3,4.25,6.5,16.5,0.97,1.05,0.91,3
476,1,0,0,3,4.25,6,18,0.95,0.79,0.91,3
477,1,0,0,4,4.25,6.5,16.5,0.97,0.78,0.99,3
501,1,0,0,3,4.25,6.5,16.5,0.84,0.84,0.94,3
3,2,0,1,3,4.25,11,10,1.06,0.95,3.09,5
51,2,0,0,3,4.25,10,13,1.01,0.89,2.35,4
73,2,0,1,3,4.25,11,12,1.06,1.06,2.45,3
75,2,0,1,3,4.25,11,11,1.17,1.27,2.77,3
95,2,0,1,4,4.25,11,10,1.06,0.8,2.56,4
96,2,0,1,2,4.25,11.5,10,1.06,1.01,2.66,3
97,2,0,1,4,4.25,11,10,1.02,0.75,2.56,3
98,2,0,1,4,4.25,11,10,1.06,0.8,2.56,3
178,2,1,1,3,4.25,11,10,0.91,0.85,2.34,3
179,2,0,1,3,4.25,10.5,10.5,0.91,0.91,2.34,3
216,2,0,1,3,4.25,11,10.5,1.06,0.95,2.77,4
217,2,1,1,2,4.25,11,10,0.95,0.74,2.19,4
219,2,1,1,3,4.25,11,10,0.91,0.74,2.34,4
220,2,0,1,2,4.25,11,10,1.06,0.95,2.77,5
239,2,0,1,3,4.25,10.5,13.5,1.05,0.95,2.74,5
275,2,1,1,4,4.25,11,11,0.95,0.79,2.34,4
277,2,1,1,3,4.25,11,10,0.95,0.85,2.34,3
278,2,1,1,3,4.25,11,10,0.95,0.74,2.19,4
362,2,0,1,,4.25,10.5,12.5,1.06,0.81,2.45,5
363,2,0,1,3,4.25,10.5,12.5,1.06,0.8,2.45,4
364,2,0,1,3,4.25,11,12,0.95,0.85,2.45,4
391,2,0,1,2,4.25,11,10,1.06,1.06,2.66,3
419,2,1,1,4,4.25,11,11,1.06,0.85,2.34,4
438,2,0,0,3,4.25,11,8,1.01,0.84,2.43,2
76,3,1,1,4,4.25,6,17,1.12,1.02,1.02,6
111,3,0,1,3,4.25,7,16,1.17,1.06,1.01,5
136,3,1,1,5,4.25,6,17,1.12,1.07,1.1,5
137,3,1,1,3,4.25,6,16,1.12,1.06,1.02,6
209,3,1,1,4,4.25,6,18,1.17,0.95,0.95,5
222,3,1,1,3,4.25,9,12.5,1.12,0.85,1.06,3
244,3,1,1,3,4.25,6,18,1.17,1.12,1.02,4
282,3,1,1,3,4.25,6,16,1.06,0.91,0.79,4
289,3,1,1,2,4.25,6,16,1.02,0.95,0.95,5
307,3,1,1,4,4.25,6,18,1.19,1.19,1.06,5
348,3,1,1,3,4.25,10.5,10.5,1.02,1.06,0.95,3
351,3,1,1,3,4.25,6,16,1.02,0.9,0.95,4
397,3,1,1,3,4.25,6,17,1.12,1.02,1.06,4
401,3,0,1,4,4.25,7,16,1.12,1.02,1.02,6
426,3,1,1,5,4.25,5,19,1.18,1.02,1.06,5
459,3,1,0,3,4.25,6,16,1.05,0.9,0.94,5
510,3,1,0,4,4.25,6,16,1.05,0.91,1.05,3
59,4,0,0,3,4.25,7.5,10.5,0.91,0.89,0.81,2
60,4,0,0,5,4.25,10.5,11.5,0.94,0.74,0.86,2
80,4,0,1,,4.25,10.5,11.5,1.06,0.98,1.06,2
142,4,0,1,4,4.25,10,11.5,1.06,0.95,1.06,2
195,4,0,1,3,4.25,10.5,11.5,1.06,0.85,1.06,2
226,4,0,1,2,4.25,10.5,11.5,0.95,0.71,0.95,2
310,4,0,1,4,4.25,10.5,11.5,0.91,0.91,1.94,2
368,4,0,1,3,4.25,10.5,12.5,0.89,0.86,0.95,2
440,4,0,0,3,4.25,10.5,11.5,0.89,0.79,2.01,2
441,4,0,0,3,4.25,10.5,11.5,0.89,0.77,0.84,2
443,4,0,0,4,4.25,10.5,11.5,0.89,0.79,1.8,2
444,4,0,0,3,4.25,10.5,12.5,0.89,0.8,0.84,2
405,3,1,1,3,4.32,6,17,1.12,1.02,1.06,7
369,1,1,1,4,4.35,7,15,1.17,1.06,1.17,3
522,1,0,0,4,4.35,7,16,1,0.87,0.94,3
199,2,0,1,3,4.35,11,10,0.85,0.8,2.34,4
218,2,1,1,2,4.35,11,10,0.85,0.74,2.34,3
22,3,0,1,4,4.35,7,16,1.06,0.84,0.95,4
303,3,1,1,3,4.35,6,17,1.12,1,1.02,6
9,1,0,1,4,4.37,7,16,1.04,0.67,0.85,4
12,1,0,1,3,4.37,7,16,1.05,0.79,0.91,3
249,1,0,1,4,4.37,7,15,1.13,1.06,0.95,3
17,3,0,1,4,4.37,6,17,1.06,1,2.02,6
353,3,1,1,3,4.37,6,16,1.07,0.85,0.95,5
305,3,1,1,3,4.39,6,17,1.27,1.27,1.06,5
102,3,0,1,3,4.4,7,16,1.06,0.91,1.07,6
21,2,0,1,3,4.45,10.5,10.5,1.06,0.8,2.13,3
269,2,1,1,3,4.45,11,10,0.95,0.69,1.5,4
1,1,0,1,4,4.5,7,16,0.93,0.83,0.85,4
23,1,0,1,3,4.5,7,16,1.06,0.95,0.95,3
42,1,0,0,5,4.5,6.5,16.5,0.98,0.83,0.86,3
47,1,0,0,,4.5,6,17,1.05,0.86,0.86,3
64,1,0,1,3,4.5,7,16,1.06,0.95,0.95,3
67,1,0,1,6,4.5,8,13.5,1.17,1.06,1.17,3
70,1,0,1,5,4.5,7,16,1.06,0.95,1.02,3
84,1,0,1,5,4.5,7,16,1.04,0.85,0.91,4
87,1,0,1,,4.5,7,15,1.06,0.86,1.02,3
120,1,1,1,3,4.5,7,16,1.13,0.98,1.04,3
149,1,0,1,4,4.5,7,16,1.06,0.95,0.95,2
201,1,0,1,3,4.5,7,17,1.06,1.02,0.95,3
211,1,0,1,4,4.5,7,15,1.02,0.95,0.95,3
212,1,0,1,3,4.5,7,16,1.06,0.88,0.84,3
215,1,0,1,3,4.5,7,16,1.06,0.89,0.91,3
229,1,0,1,3,4.5,8.5,13.5,0.95,0.95,1.06,5
313,1,0,1,4,4.5,7,15,1.06,0.93,0.94,3
336,1,0,1,4,4.5,7,15,1.02,0.91,0.93,3
376,1,0,1,4,4.5,8,14,0.95,0.95,0.96,8
380,1,0,1,3,4.5,7,16,1.06,0.95,0.95,3
383,1,0,1,2,4.5,7,16,1.15,0.95,0.95,2
411,1,0,1,3,4.5,7,16,1.16,1.02,1.09,5
432,1,0,0,5,4.5,7,16,0.94,0.74,0.79,4
446,1,0,0,3,4.5,6,18,1.03,0.84,0.94,
475,1,0,0,3,4.5,7,15,1.02,0.89,0.9,3
478,1,0,0,4,4.5,6,19,0.97,0.86,0.91,3
13,2,0,1,3,4.5,11,10,1.06,0.95,2.66,5
28,2,0,1,1,4.5,11,10,1.06,1.17,2.56,2
29,2,0,1,2,4.5,11,11,1.06,1.01,2.56,3
50,2,0,0,3,4.5,10,12,1.01,0.89,3.5,4
125,2,0,1,4,4.5,10,12.5,0.91,0.85,2.34,3
158,2,0,1,3,4.5,11,10,0.92,0.7,2.34,3
159,2,0,1,2,4.5,10.5,10.5,0.98,0.85,2.34,3
180,2,0,1,4,4.5,11,11,1.06,1.01,2.66,4
182,2,0,1,3,4.5,11,11,1.06,1.01,2.66,4
185,2,0,1,3,4.5,11,10.5,1.06,1.01,2.66,4
412,2,0,1,2,4.5,11,11,1.06,1.02,2.34,5
454,2,1,0,3,4.5,11,10,0.94,0.73,2.53,4
485,2,1,0,3,4.5,11,10,0.95,0.74,2.33,4
32,3,0,1,3,4.5,10.5,11.5,1.12,1.02,1.06,4
79,3,1,1,3,4.5,6,17,1.17,1.02,1.06,5
130,3,1,1,3,4.5,5,18,1.12,1.07,1,4
132,3,1,1,5,4.5,0,24,1.28,1.06,2.3,5
243,3,1,1,3,4.5,6,16.5,1.07,1.02,0.74,6
284,3,1,1,4,4.5,6,16,1.02,0.91,0.91,5
287,3,1,1,3,4.5,6,16,1.06,0.91,0.95,5
304,3,0,1,3,4.5,6,17,1.27,1.27,2.24,5
325,3,1,1,4,4.5,6,15,1.09,1.06,0.79,6
366,3,0,1,3,4.5,10.5,11.5,1.02,0.91,0.63,5
400,3,1,1,3,4.5,6,17,1.2,1.06,1.06,5
491,3,0,0,2,4.5,8.5,13,1.05,0.91,0.95,3
492,3,1,0,3,4.5,9,12.5,1.11,1.05,0.94,2
514,3,0,0,3,4.5,6,16,0.94,0.9,0.94,5
35,4,0,1,4,4.5,10.5,11.5,0.96,0.95,2.13,2
140,4,0,1,3,4.5,10.5,11.5,0.91,0.86,1.06,2
193,4,0,1,3,4.5,10,11,0.95,0.85,0.99,2
210,4,1,1,2,4.5,10.5,11.5,1.06,0.95,0.95,4
228,4,0,1,3,4.5,10.5,12.5,0.95,0.86,0.95,2
247,4,0,1,4,4.5,10.5,15.5,1.06,1.05,1.06,2
497,4,1,0,3,4.5,10,12,0.91,0.84,0.84,2
213,1,1,1,4,4.55,6.5,17.5,0.96,0.93,0.93,4
291,4,0,1,3,4.55,10.5,11.5,0.95,0.86,0.95,2
221,2,0,1,3,4.6,11,11,1.02,0.95,2.56,4
15,3,0,1,4,4.6,6,17,1.02,0.98,0.95,5
214,1,0,1,3,4.62,7,16,1.02,0.89,0.91,2
314,1,0,1,3,4.62,7,15,1.06,0.95,0.91,3
316,1,1,1,3,4.62,7,16,1.06,0.92,0.87,3
379,1,0,1,4,4.62,7,16,1.06,1.06,0.95,3
183,2,0,1,4,4.62,11,11,1.06,1.01,2.66,4
273,2,1,1,4,4.62,11,10,0.95,0.74,2.34,4
319,2,0,1,3,4.62,10.5,12.5,1.06,0.85,3.95,
341,2,1,1,2,4.62,11,9.5,0.95,0.74,2.34,3
393,2,1,1,3,4.62,11,11,1.17,1.27,2.77,3
421,2,1,1,8,4.62,10.5,13,1.06,0.85,2.34,4
208,3,1,1,4,4.62,6,17,1.19,0.94,0.85,4
104,4,0,1,3,4.62,10.5,11.5,0.95,0.84,0.94,2
428,4,0,1,3,4.62,10.5,12.5,1.06,0.98,1.06,2
233,1,0,1,3,4.65,7,16,1.17,0.95,0.95,2
384,1,0,1,3,4.65,7,16,1.06,0.95,0.95,3
150,1,0,1,3.5,4.67,7,16,1.23,0.89,0.89,3
57,4,1,0,3,4.67,10,12,0.87,0.79,0.9,2
2,1,0,1,3,4.75,7,14,1.06,0.91,0.96,2
24,1,0,1,4,4.75,7,16,1.06,0.95,1.01,4
71,1,0,1,3,4.75,7,17,1.06,0.95,0.95,3
114,1,0,1,5,4.75,7,16,1.07,0.95,0.95,3
115,1,0,1,4,4.75,7,17,1.06,0.95,1.06,4
119,1,0,1,3,4.75,6.5,16.5,1.06,0.91,0.95,3
172,1,0,1,5,4.75,9,12.5,1.12,1.02,1.06,5
174,1,0,1,4,4.75,7,16,1.18,0.88,0.98,4
232,1,0,1,3,4.75,7,16,1.06,0.95,0.95,3
295,1,0,1,3,4.75,6.5,16.5,1.06,0.95,0.95,3
448,1,0,0,4,4.75,6,18,0.97,0.84,0.91,3
450,1,0,0,3,4.75,6.5,16.5,0.97,0.82,0.84,3
473,1,0,0,4,4.75,6,17,0.97,0.86,0.89,3
503,1,0,0,4,4.75,6.5,16.5,0.97,0.84,0.91,3
207,2,1,1,4,4.75,11,12,1.06,0.85,2.34,4
238,2,1,1,3,4.75,11,12,1.06,1.02,2.34,5
318,2,0,1,3,4.75,11,12,1.23,0.98,2.61,3
343,2,1,1,2,4.75,11,10.5,0.95,0.74,2.34,4
407,2,1,0,3,4.75,11,10,0.95,0.74,2.33,4
422,2,0,1,3,4.75,10,11,1.06,0.85,2.34,4
424,2,1,1,3,4.75,11,11,1.06,0.85,2.34,5
4,3,0,1,3,4.75,9,12.5,1.06,1,2.13,8
101,3,0,1,3,4.75,7,15,1.2,1.18,1.06,6
133,3,1,1,2,4.75,6,17,1.12,1.07,1.06,4
162,3,1,1,3,4.75,6,16.5,1.12,1.02,1.06,
186,3,0,1,4,4.75,6,16,1.12,1.02,0.95,5
189,3,0,1,3,4.75,7,15,1.12,1.07,1.12,4
225,3,1,1,3,4.75,6,17,1.06,0.91,0.91,6
285,3,1,1,3,4.75,6,16,1.02,0.91,0.8,4
288,3,1,1,3,4.75,6,16,1.02,0.95,0.95,6
322,3,1,1,4,4.75,6,16,1.06,1.06,1.02,6
350,3,1,1,4,4.75,6,16,1.06,0.91,1.12,5
352,3,1,1,4,4.75,10,11.5,1.12,0.91,0.99,2
398,3,1,1,4,4.75,6,17,1.12,1.06,1.06,5
402,3,1,1,3,4.75,6,16,1.12,1.02,1.06,4
511,3,1,0,3,4.75,6,16.5,1.01,0.91,1.05,4
516,3,1,0,3,4.75,6,16,1.05,0.91,1.05,4
58,4,1,0,3,4.75,10,12,0.87,0.77,1.01,2
141,4,0,1,4,4.75,10.5,12.5,1.02,0.91,1.06,2
166,4,0,1,5,4.75,10.5,11.5,0.95,0.85,1.06,2
248,4,0,1,6,4.75,10,16,1.17,0.95,0.85,2
290,4,0,1,3,4.75,10.5,12.5,0.95,0.89,0.95,2
427,4,0,1,3,4.75,10.5,12.5,1.06,0.98,2.03,2
466,4,0,0,4,4.75,10.5,11.5,0.94,0.8,0.94,2
498,4,1,0,3,4.75,10,12,0.91,0.84,0.85,2
65,1,0,1,4,4.8,6.5,15.5,1.06,0.85,1.11,3
146,1,0,1,5,4.8,7,16,1.06,1,1.06,4
8,4,0,1,4,4.8,10.5,12,1.02,0.91,2.28,2
292,4,0,1,3,4.8,7,16,0.95,0.92,0.95,2
173,1,0,1,10,4.85,6.5,17.5,1.06,0.95,0.98,4
370,1,0,1,3.3,4.85,7,16,1.06,0.95,0.95,3
156,1,0,1,3,4.87,7,15,1.06,0.95,1.02,8
337,1,1,1,5,4.87,7,17,1.06,0.93,0.93,4
253,3,1,1,3,4.87,7,13,1.23,1.06,2.3,2
396,3,1,1,4,4.87,6,17,1.27,1.07,2.13,5
399,3,1,1,3,4.87,6,17,1.27,1.04,1.12,7
192,4,0,1,4,4.87,10,12,0.91,0.85,1.06,2
355,4,0,1,3,4.87,10.5,11.5,0.95,0.92,0.95,2
423,2,1,1,2,4.95,11,12,1.06,0.85,2.34,3
34,3,1,1,3,4.95,10.5,11.5,1.12,1.02,1.06,5
89,1,1,1,3,5,7,16,1.09,0.95,1.04,3
145,1,0,1,3,5,7,16,1.06,0.95,0.95,3
151,1,0,1,3,5,7,15,1.09,0.81,1.04,3
169,1,1,1,4,5,7,16,1.1,0.94,1.04,3
170,1,1,1,3,5,7,16,1.1,1.02,1.08,3
197,1,0,1,4,5,7,17,0.99,0.89,0.89,3
259,1,0,1,4,5,7.5,14.5,1.02,0.85,0.85,3
268,1,1,1,4,5,7,15,1.02,0.85,0.85,5
334,1,0,1,3,5,9,12.5,0.91,0.91,0.91,3
371,1,0,1,4,5,7,16,1.06,1.02,0.95,3
373,1,1,1,4,5,6.5,15.5,1.01,0.95,1.03,6
378,1,1,1,4,5,6.5,18.5,1.1,0.96,1.1,5
381,1,0,1,4,5,6.5,16.5,1.27,1.17,1.1,4
409,1,0,1,2,5,7,15,1.19,0.87,0.95,3
445,1,0,0,3,5,6,18,1.04,0.88,0.94,3
451,1,0,0,5,5,0,24,1.05,0.84,0.96,6
468,1,0,0,3,5,6,18,0.95,0.94,0.95,4
469,1,0,0,5,5,6,18,0.92,0.72,0.96,3
474,1,0,0,3,5,9,12.5,1.13,0.98,1.01,3
27,2,1,1,4,5,11,10,1.06,0.85,2.34,4
30,2,0,1,2,5,11,10,1.06,1.06,2.53,2
94,2,0,1,5,5,11,10,1.06,0.8,2.56,
128,2,1,1,2,5,11,11,1.06,0.85,2.34,4
157,2,0,1,3,5,10.5,12,0.91,0.85,2.34,3
271,2,1,1,2,5,11,11,1.02,0.79,2.34,4
276,2,1,1,3,5,11,10.5,0.95,0.74,2.19,4
299,2,1,1,2,5,10.5,11.5,1.06,0.85,2.34,3
301,2,1,1,5,5,11,10.5,1.06,0.85,2.34,3
320,2,0,1,2,5,11,12,1.12,0.8,2.45,4
321,2,0,1,3,5,10.5,12.5,1.12,0.85,2.45,4
458,2,1,0,2,5,11,10,0.94,0.73,2.32,4
483,2,1,0,1,5,11,10,0.94,0.73,2.32,4
6,3,1,1,2,5,11,7,1.2,1.17,2.35,4
33,3,0,1,4,5,6,17,1.02,1.07,0.95,5
77,3,0,1,4,5,6,19,1.18,1.07,1.17,6
78,3,1,1,3,5,6,17,1.12,1.02,1.02,4
161,3,1,1,4,5,6,17,1.12,1.02,1.06,7
163,3,1,1,3,5,6,16.5,1.2,1.07,1.06,3
164,3,1,1,4,5,5,19,1.12,1.02,1.06,5
190,3,1,1,4,5,6,16,1.02,1.07,1.06,5
241,3,0,1,4,5,7,16,1.12,1.02,1.06,5
349,3,1,1,5,5,6,16,1.12,0.91,0.95,3
462,3,1,0,3,5,9,12.5,1.05,1.01,1.11,4
487,3,1,0,2,5,10,11.5,1.11,0.91,0.95,6
488,3,0,0,3,5,6,16,1.05,0.79,1.01,5
489,3,0,0,2,5,7,14,1.05,1.01,0.94,4
490,3,1,0,4,5,6,16,1.05,1.01,1.05,4
493,3,1,0,3,5,6,16,1.05,0.9,2.01,6
495,3,0,0,3,5,7,15,1.05,1.01,0.94,3
496,3,1,0,3,5,6,16,1.05,0.9,0.73,5
509,3,1,0,3,5,6,16,1.05,0.95,1.16,6
515,3,1,0,4,5,6,16,1.05,0.94,1.16,5
56,4,1,0,4,5,10,12,0.87,0.82,1.79,2
62,4,1,0,5,5,10,12,0.87,0.77,0.95,2
81,4,0,1,3,5,10,12,1.06,0.98,1.06,2
82,4,0,1,3,5,10.5,13.5,1.06,1.03,1.06,2
83,4,0,1,2,5,10.5,13.5,1.06,0.98,2.13,2
103,4,0,1,3,5,10.5,11.5,0.91,0.85,0.95,2
112,4,0,1,3,5,10,14,1.06,0.98,1.06,2
165,4,0,1,3,5,10.5,12.5,1.06,0.89,1.06,3
196,4,1,1,4,5,10.5,11.5,0.95,0.85,1.06,2
357,4,0,1,3,5,10.5,11.5,0.95,0.86,0.95,2
499,4,1,0,5,5,10,12,0.9,0.69,1.75,2
272,2,1,1,3,5.05,11,11,0.95,0.74,2.34,4
403,3,1,1,,5.05,6,18,1.09,1.12,1.06,5
144,4,0,1,3,5.05,10.5,12.5,0.91,0.85,1.06,2
356,4,0,1,4,5.05,10.5,11.5,0.95,0.8,1.06,2
354,4,0,1,3,5.06,10.5,10.5,0.95,0.86,0.95,2
240,3,1,1,3,5.1,6,17,1.18,1.02,1.06,6
147,1,0,1,3,5.12,7,14,1.12,0.89,0.95,2
152,1,0,1,4,5.12,7,15,1.17,0.95,1.02,3
14,2,0,1,2,5.12,11,11,1.06,0.85,2.49,6
148,1,0,1,4,5.25,7,17,1.06,0.95,0.95,3
31,2,0,1,3,5.25,11,11,1.03,1.06,2.56,4
455,2,1,0,5,5.25,11,10,0.73,0.73,2.32,2
481,2,1,0,3,5.25,11,10,0.95,0.74,2.53,5
129,3,0,1,3,5.25,6,16,1.1,1,0.74,6
242,3,1,1,3,5.25,6,17,1.1,1.02,1.06,5
296,1,1,1,4,5.3,7,16,1.06,0.95,1.01,3
143,4,0,1,3,5.37,10.5,11.5,0.95,0.95,1.06,2
330,4,0,1,3,5.42,10.5,15.5,1.01,0.86,0.95,2
85,1,0,1,3,5.5,9,12.5,1.12,1.02,1.02,5
470,1,0,0,3,5.5,6,18,0.97,0.84,0.94,3
274,2,1,1,2,5.5,11,10,0.91,0.74,2.34,4
131,3,0,1,4,5.5,6,17,1.06,1.06,1.06,5
245,3,0,1,3,5.5,8.5,13.5,1.2,1.02,1.02,4
36,4,0,1,4,5.5,10.5,13,1.02,0.91,2.57,2
61,4,1,0,5,5.5,10,12,0.87,0.77,1.65,2
139,4,0,1,2,5.5,10.5,12.5,0.95,0.95,1.06,2
26,1,0,1,4,5.56,7,16,1.06,0.91,0.98,4
187,3,0,1,3,5.62,7,15,1.12,1.09,1.06,4
407,4,1,1,2,5.75,11,10.5,1.17,1.17,1.38,1
